airline_name,avg_arr_delay_min,total_flights
Endeavor Air Inc.,-1.26,109848
Republic Airline,0.59,138147
Delta Air Lines Inc.,1.09,388475
Alaska Airlines Inc.,1.1,98294
Horizon Air,2.38,20237
Southwest Airlines Co.,3.27,555869
Envoy Air,3.28,117312
Hawaiian Airlines Inc.,3.89,31698
PSA Airlines Inc.,3.93,103483
SkyWest Airlines Inc.,4.02,334986
United Air Lines Inc.,5.04,248270
American Airlines Inc.,6.66,371218
Mesa Airlines Inc.,7.31,62477
Spirit Air Lines,8.03,93200
ExpressJet Airlines LLC d/b/a aha!,10.03,17951
Frontier Airlines Inc.,11.1,62711
JetBlue Airways,12.28,109447
Allegiant Air,13.28,50179
