year_month,flight_count,avg_dep_delay_min,avg_arr_delay_min
2019-01,57746,9.51,4.09
2019-02,53003,13.56,9.03
2019-03,63579,9.2,3.3
2019-04,60594,10.34,4.56
2019-05,63594,11.49,6.54
2019-06,63517,15.97,11.79
2019-07,65875,13.76,8.34
2019-08,66342,12.75,7.68
2019-09,61031,6.27,0.06
2019-10,64382,7.8,2.34
2019-11,61201,6.42,-0.09
2019-12,63215,12.17,5.99
2020-01,61408,6.25,-1.66
2020-02,57950,7.3,-0.28
2020-03,55124,1.45,-6.31
2020-04,18724,-3.45,-13.87
2020-05,17413,-1.86,-11.34
2020-06,23074,-0.59,-7.63
2020-07,35808,0.39,-5.24
2020-08,38136,-0.01,-6.0
2020-09,32618,-0.46,-7.32
2020-10,35748,0.83,-5.05
2020-11,37110,-0.38,-6.63
2020-12,37480,3.25,-2.04
2021-01,36516,2.24,-5.07
2021-02,31876,5.88,0.41
2021-03,44597,2.81,-4.69
2021-04,45488,4.03,-3.73
2021-05,50195,6.48,-0.49
2021-06,54496,15.56,10.35
2021-07,58711,16.8,11.81
2021-08,57655,14.11,9.2
2021-09,54455,6.6,0.42
2021-10,56230,10.15,3.91
2021-11,55510,7.59,0.62
2021-12,55372,13.2,6.76
2022-01,51458,10.91,3.98
2022-02,48436,11.1,4.6
2022-03,56810,12.86,7.29
2022-04,55453,13.35,8.48
2022-05,57867,12.38,7.15
2022-06,57342,15.93,10.82
2022-07,59701,15.09,9.82
2022-08,58723,13.77,8.44
2022-09,56169,7.98,1.93
2022-10,58078,8.0,1.98
2022-11,55451,9.79,4.54
2022-12,53924,18.13,13.45
2023-01,54227,12.81,7.72
2023-02,50044,9.95,3.95
2023-03,58249,13.61,9.64
2023-04,56262,13.84,9.25
2023-05,59120,10.09,3.83
2023-06,57451,18.75,14.25
2023-07,59776,21.46,17.0
2023-08,60546,14.15,8.41
