airline_name,total_flights,cancelled_count,cancellation_rate_pct
ExpressJet Airlines LLC d/b/a aha!,19082,1062,5.57
Allegiant Air,52738,2383,4.52
Mesa Airlines Inc.,65012,2373,3.65
Southwest Airlines Co.,576470,19465,3.38
Republic Airline,143107,4646,3.25
PSA Airlines Inc.,107050,3301,3.08
Envoy Air,121256,3633,3.0
American Airlines Inc.,383106,10907,2.85
JetBlue Airways,112844,3039,2.69
Frontier Airlines Inc.,64466,1666,2.58
Spirit Air Lines,95711,2312,2.42
SkyWest Airlines Inc.,343737,7745,2.25
United Air Lines Inc.,254504,5536,2.18
Endeavor Air Inc.,112463,2394,2.13
Alaska Airlines Inc.,100467,1934,1.93
Horizon Air,20634,374,1.81
Delta Air Lines Inc.,395239,5982,1.51
Hawaiian Airlines Inc.,32114,388,1.21
